Group,Records,Avg_Conf,MAE,RMSE,MAPE,Actual_Accuracy
0-60%,4,42.675,9312.130612896366,9813.363081028694,62.910515302109474,37.089484697890526
60-70%,14,69.01428571428572,7535.178886411958,7618.789962016355,67.09045444252288,32.90954555747712
70-80%,22,75.36818181818181,7657.622168699288,8262.269157612263,65.65204783785047,34.347952162149525
80-90%,75,84.66933333333334,7290.682157584185,7757.871940774186,65.20540622764631,34.79459377235369
90-100%,23,94.93913043478263,7352.30006756139,7904.10660020031,63.19753107309734,36.80246892690266
