Group,Records,Avg_Actual,Avg_Pred,MAE,MAPE,Bias
1-2,24,10603.75,3917.7469962540767,6686.003003745923,63.17101501505542,-6686.003003745923
11-15,29,11562.758620689658,4078.8417960280285,7483.916824661626,63.26869219026432,-7483.916824661626
16-20,26,11971.153846153846,4570.280219521383,7400.873626632465,60.854910401942796,-7400.873626632465
3-5,27,10947.777777777777,3489.9207143733133,7457.8570634044645,67.81476114703024,-7457.8570634044645
6-10,32,11382.1875,3387.491783249712,7994.695716750288,69.22123444662046,-7994.695716750288
