Group,Records,MAE,RMSE,MAPE,Bias,Median_Error,R2
24H Day,16,11483.178760718874,11603.838267278245,73.49672015318905,-11483.178760718874,-11736.25,-35.178600345439115
24H Night,22,9831.13277181293,10174.869092780362,62.2067399810216,-9831.13277181293,-10339.965384615385,-22.500344701016413
12H Night,45,7492.930691515564,7592.568808875866,68.73916286067639,-7492.930691515564,-7290.0,-25.401500381737115
12H Day,55,5271.183921379569,5434.4526422066265,60.753527760495295,-5271.183921379569,-5077.64064697609,-12.242565948295686
