date,slot,weekend,guests,lead,actual,predicted,error,abs_error
2026-05-02,24H Night,Weekend,15,3,13500.0,13650.0,150.0,150.0
2026-05-04,12H Day,Weekday,18,2,3500.0,4740.0,1240.0,1240.0
2026-05-05,Couple Half Day,Weekday,2,0,5500.0,2300.0,-3200.0,3200.0
2026-05-05,24H Night,Weekday,6,3,5000.0,6030.0,1030.0,1030.0
2026-05-06,24H Night,Weekday,14,2,5000.0,6890.0,1890.0,1890.0
2026-05-07,24H Night,Weekday,10,1,5000.0,6250.0,1250.0,1250.0
2026-05-08,24H Night,Weekday,10,4,6000.0,6320.0,320.0,320.0
2026-05-09,24H Night,Weekend,18,3,13500.0,13960.0,460.0,460.0
2026-05-10,12H Night,Weekday,10,0,4000.0,3760.0,-240.0,240.0
2026-05-11,12H Day,Weekday,10,0,4000.0,4100.0,100.0,100.0
2026-05-11,24H Night,Weekday,7,6,5500.0,6140.0,640.0,640.0
2026-05-12,24H Night,Weekday,17,2,6000.0,6690.0,690.0,690.0
2026-05-13,24H Night,Weekday,8,0,6000.0,6010.0,10.0,10.0
2026-05-14,24H Night,Weekday,8,2,6000.0,6010.0,10.0,10.0
2026-05-15,24H Night,Weekday,8,6,6500.0,6000.0,-500.0,500.0
2026-05-16,24H Night,Weekend,15,3,14000.0,13590.0,-410.0,410.0
2026-05-17,24H Night,Weekday,10,2,6000.0,6320.0,320.0,320.0
2026-05-18,24H Night,Weekday,10,4,6000.0,6320.0,320.0,320.0
2026-05-19,24H Night,Weekday,12,3,6500.0,6460.0,-40.0,40.0
2026-05-20,24H Night,Weekday,15,10,6000.0,6730.0,730.0,730.0
2026-05-21,24H Night,Weekday,10,6,6000.0,6320.0,320.0,320.0
2026-05-22,24H Night,Weekday,4,7,6000.0,5860.0,-140.0,140.0
2026-05-23,24H Night,Weekend,10,4,14000.0,13520.0,-480.0,480.0
2026-05-24,24H Night,Weekday,15,1,6500.0,6690.0,190.0,190.0
2026-05-25,24H Night,Weekday,15,5,6500.0,6690.0,190.0,190.0
2026-05-26,24H Night,Weekday,8,7,6500.0,6000.0,-500.0,500.0
2026-05-27,24H Night,Weekday,22,1,7000.0,6720.0,-280.0,280.0
2026-05-28,24H Night,Weekday,12,4,6500.0,6460.0,-40.0,40.0
2026-05-29,24H Night,Weekday,17,4,6500.0,6860.0,360.0,360.0
2026-05-30,24H Night,Weekend,15,6,14000.0,13590.0,-410.0,410.0
2026-05-31,12H Night,Weekday,14,0,4500.0,3940.0,-560.0,560.0
2026-06-01,12H Day,Weekday,10,1,4500.0,4000.0,-500.0,500.0
2026-06-01,24H Night,Weekday,12,7,6500.0,5930.0,-570.0,570.0
2026-06-02,24H Night,Weekday,15,1,6500.0,6000.0,-500.0,500.0
2026-06-03,24H Night,Weekday,8,1,6000.0,5050.0,-950.0,950.0
2026-06-04,24H Night,Weekday,10,2,6500.0,5790.0,-710.0,710.0
2026-06-05,24H Night,Weekday,15,3,6500.0,6130.0,-370.0,370.0
2026-06-06,24H Night,Weekend,18,1,14000.0,10050.0,-3950.0,3950.0
2026-06-07,24H Night,Weekday,12,1,5000.0,5890.0,890.0,890.0
2026-06-08,24H Night,Weekday,10,4,5200.0,5740.0,540.0,540.0
2026-06-09,24H Night,Weekday,12,3,5000.0,6010.0,1010.0,1010.0
2026-06-11,12H Day,Weekday,10,1,4000.0,4040.0,40.0,40.0
2026-06-11,24H Night,Weekday,10,3,5000.0,5730.0,730.0,730.0
2026-06-12,24H Night,Weekday,11,2,4500.0,5800.0,1300.0,1300.0
2026-06-13,24H Night,Weekend,10,2,10000.0,10830.0,830.0,830.0
2026-06-15,24H Night,Weekday,7,2,4500.0,5500.0,1000.0,1000.0
2026-06-16,24H Night,Weekday,15,1,5000.0,6080.0,1080.0,1080.0
2026-06-17,12H Night,Weekday,4,0,2500.0,2760.0,260.0,260.0
2026-06-18,24H Night,Weekday,7,0,4300.0,5510.0,1210.0,1210.0
2026-06-20,24H Night,Weekend,10,3,10000.0,10830.0,830.0,830.0
